,Year,Date,RoundID,Stage,MatchID,Country,City,Stadium,Home_Team_Name,Home_Team_Initials,Half_Time_Home_Goals,Home_Team_Goals,Away_Team_Name,Away_Team_Initials,Half_Time_Away_Goals,Away_Team_Goals,Half_Time_Goals,Goals,Outcome_Of_The_Match,Win_Conditions,Attendance,Referee,Assistant_1,Assistant_2
0,1930.0,13 Jul 1930,201.0,Group 1,1096.0,France,Montevideo ,Pocitos,France,FRA,3.0,4.0,Mexico,MEX,0.0,1.0,3.0,5.0,Home_Team_Win, ,4444.0,LOMBARDI Domingo (URU),CRISTOPHE Henry (BEL),REGO Gilberto (BRA)
1,1930.0,13 Jul 1930,201.0,Group 4,1090.0,USA,Montevideo ,Parque Central,USA,USA,2.0,3.0,Belgium,BEL,0.0,0.0,2.0,3.0,Home_Team_Win, ,18346.0,MACIAS Jose (ARG),MATEUCCI Francisco (URU),WARNKEN Alberto (CHI)
2,1930.0,14 Jul 1930,201.0,Group 2,1093.0,Yugoslavia,Montevideo ,Parque Central,Yugoslavia,YUG,2.0,2.0,Brazil,BRA,0.0,1.0,2.0,3.0,Home_Team_Win, ,24059.0,TEJADA Anibal (URU),VALLARINO Ricardo (URU),BALWAY Thomas (FRA)
3,1930.0,14 Jul 1930,201.0,Group 3,1098.0,Romania,Montevideo ,Pocitos,Romania,ROU,1.0,3.0,Peru,PER,0.0,1.0,1.0,4.0,Home_Team_Win, ,2549.0,WARNKEN Alberto (CHI),LANGENUS Jean (BEL),MATEUCCI Francisco (URU)
4,1930.0,15 Jul 1930,201.0,Group 1,1085.0,Argentina,Montevideo ,Parque Central,Argentina,ARG,0.0,1.0,France,FRA,0.0,0.0,0.0,1.0,Home_Team_Win, ,23409.0,REGO Gilberto (BRA),SAUCEDO Ulises (BOL),RADULESCU Constantin (ROU)
5,1930.0,16 Jul 1930,201.0,Group 1,1095.0,Chile,Montevideo ,Parque Central,Chile,CHI,1.0,3.0,Mexico,MEX,0.0,0.0,1.0,3.0,Home_Team_Win, ,9249.0,CRISTOPHE Henry (BEL),APHESTEGUY Martin (URU),LANGENUS Jean (BEL)
6,1930.0,17 Jul 1930,201.0,Group 2,1092.0,Yugoslavia,Montevideo ,Parque Central,Yugoslavia,YUG,0.0,4.0,Bolivia,BOL,0.0,0.0,0.0,4.0,Home_Team_Win, ,18306.0,MATEUCCI Francisco (URU),LOMBARDI Domingo (URU),WARNKEN Alberto (CHI)
7,1930.0,17 Jul 1930,201.0,Group 4,1097.0,USA,Montevideo ,Parque Central,USA,USA,2.0,3.0,Paraguay,PAR,0.0,0.0,2.0,3.0,Home_Team_Win, ,18306.0,MACIAS Jose (ARG),APHESTEGUY Martin (URU),TEJADA Anibal (URU)
8,1930.0,18 Jul 1930,201.0,Group 3,1099.0,Uruguay,Montevideo ,Estadio Centenario,Uruguay,URU,0.0,1.0,Peru,PER,0.0,0.0,0.0,1.0,Home_Team_Win, ,57735.0,LANGENUS Jean (BEL),BALWAY Thomas (FRA),CRISTOPHE Henry (BEL)
9,1930.0,19 Jul 1930,201.0,Group 1,1094.0,Chile,Montevideo ,Estadio Centenario,Chile,CHI,0.0,1.0,France,FRA,0.0,0.0,0.0,1.0,Home_Team_Win, ,2000.0,TEJADA Anibal (URU),LOMBARDI Domingo (URU),REGO Gilberto (BRA)
10,1930.0,19 Jul 1930,201.0,Group 1,1086.0,Argentina,Montevideo ,Estadio Centenario,Argentina,ARG,3.0,6.0,Mexico,MEX,1.0,3.0,4.0,9.0,Home_Team_Win, ,42100.0,SAUCEDO Ulises (BOL),ALONSO Gualberto (URU),RADULESCU Constantin (ROU)
11,1930.0,20 Jul 1930,201.0,Group 2,1091.0,Brazil,Montevideo ,Estadio Centenario,Brazil,BRA,1.0,4.0,Bolivia,BOL,0.0,0.0,1.0,4.0,Home_Team_Win, ,25466.0,BALWAY Thomas (FRA),MATEUCCI Francisco (URU),VALLEJO Gaspar (MEX)
12,1930.0,20 Jul 1930,201.0,Group 4,1089.0,Paraguay,Montevideo ,Estadio Centenario,Paraguay,PAR,1.0,1.0,Belgium,BEL,0.0,0.0,1.0,1.0,Home_Team_Win, ,12000.0,VALLARINO Ricardo (URU),MACIAS Jose (ARG),LOMBARDI Domingo (URU)
13,1930.0,21 Jul 1930,201.0,Group 3,1100.0,Uruguay,Montevideo ,Estadio Centenario,Uruguay,URU,4.0,4.0,Romania,ROU,0.0,0.0,4.0,4.0,Home_Team_Win, ,70022.0,REGO Gilberto (BRA),WARNKEN Alberto (CHI),SAUCEDO Ulises (BOL)
14,1930.0,22 Jul 1930,201.0,Group 1,1084.0,Argentina,Montevideo ,Estadio Centenario,Argentina,ARG,2.0,3.0,Chile,CHI,1.0,1.0,3.0,4.0,Home_Team_Win, ,41459.0,LANGENUS Jean (BEL),CRISTOPHE Henry (BEL),SAUCEDO Ulises (BOL)
15,1930.0,26 Jul 1930,202.0,Semi-finals,1088.0,Argentina,Montevideo ,Estadio Centenario,Argentina,ARG,1.0,6.0,USA,USA,0.0,1.0,1.0,7.0,Home_Team_Win, ,72886.0,LANGENUS Jean (BEL),VALLEJO Gaspar (MEX),WARNKEN Alberto (CHI)
16,1930.0,27 Jul 1930,202.0,Semi-finals,1101.0,Uruguay,Montevideo ,Estadio Centenario,Uruguay,URU,3.0,6.0,Yugoslavia,YUG,1.0,1.0,4.0,7.0,Home_Team_Win, ,79867.0,REGO Gilberto (BRA),SAUCEDO Ulises (BOL),BALWAY Thomas (FRA)
